time_s,rcCommand[3],rcCommand[0],gyroADC[0],axisP[0],axisD[0],debug[0],rcCommand[1],gyroADC[1],axisP[1],axisD[1],debug[1],rcCommand[2],gyroADC[2],axisP[2],axisD[2],debug[2],motor[0],motor[1],motor[2],motor[3],vbatLatest
0.0,984.6740154106308,-0.9221719386756007,-0.17321694885041822,-1.0545286256738569,0.0,3.3063686612283347,1.8104394767312295,0.7614294917477477,1.9469625321293422,0.0,2.278487429360391,1.4016670311398611,0.43853414471443164,1.3869113564526185,0.0,3.9695735025520955,1104.5157505004656,1110.2472731384798,1106.889936878005,1112.3889644679978,1637.4552489088544
0.002,999.4481785389761,-1.5586535020174084,0.13033519066593144,-2.3780960792981425,18.592568545376416,-3.022239435189595,6.836566232698146,0.9809410821520526,10.868040279413549,18.43897359396161,3.4309666229542417,-5.577762599710265,0.5480274996154457,-8.821137743029023,0.0,-0.5785552145110529,1108.6148807342408,1105.7342592622706,1106.5131155848685,1107.744446131262,1640.8818246183075
0.004,981.1417300177634,-0.6933745366973221,0.2166145083002126,-1.2812645753565286,5.28460820509972,-3.5052520667439406,0.6815450273899064,-0.4744574221618993,2.1455405463681516,-122.25347436237196,-0.19370436836619667,1.6679637137033625,0.24122342518064857,2.054506015472708,-0.0,1.8523667954589729,1110.179482815259,1108.140749387789,1107.0139438758092,1111.895754874283,1639.310897663135
0.006,997.809599680785,2.3929768071695854,0.8298383714539979,2.2008989174875473,37.559961618169346,-2.5320309153890292,-2.8104872439279855,-0.3025769196699921,-4.654681561822836,14.437962209320203,-2.9345008265624095,3.4562240293305306,0.6087632327478223,4.1003435470791,0.0,-0.02743054218299079,1110.4432232762003,1112.1082424841522,1108.5083933240376,1113.2012332883246,1640.7844194314187
0.008,1004.2587276615482,0.31533646264893544,0.7799750203043896,-0.6542110891788795,-3.054130257913507,2.8714640269912843,9.664452888960243,0.6127286257363566,16.800000232543535,76.88566581413329,6.395589623449667,2.1978592566008976,0.2742669079010446,2.769972982127789,-0.0,1.1985967980345684,1108.607602140616,1112.8161634660435,1110.173084726831,1110.098355223806,1642.455335750201
0.01,1028.5851852168257,3.174095496594784,0.5398819505344881,3.7089726728528962,-14.705700523406467,2.315184696660653,3.1376194703908125,-0.9150179752099576,7.52169509903503,-128.33071447949038,-1.7521610631397795,4.055568435997065,0.3896973562804041,5.278854354791992,0.0,-0.30811164183600326,1105.5583833054823,1112.0035455563022,1110.3259714147061,1112.2137459989876,1638.9148306223624
0.012,1029.8315081442756,7.345963979671034,0.8286125019261541,9.17643088066479,17.684746272739545,3.5908208073555636,6.829976655057448,-1.9044208046007598,16.211041685125636,-83.10983766882738,4.662497616479698,-0.18082037308374632,0.4021561481677936,-0.8394861906022175,0.0,-0.6623124358449273,1113.7460991637124,1110.121875744169,1113.2417089215198,1110.50670298285,1641.824287113423
0.014,1017.2870036579714,3.3838285625051188,0.5992812530774909,3.9206426116741,-14.04653899198062,5.043417815579183,4.234539678600951,-1.745045296771647,11.098109714291542,13.387542657645474,-0.6398286492086575,5.216512727197467,0.30432349552276633,7.07355249361157,-0.0,1.125397191293489,1113.1439862401037,1115.037745969896,1112.3165768805566,1109.7748973044168,1641.4583790417819
0.016,1018.3723638690794,1.5592423674403317,0.7538708132301314,1.133963148327962,9.46861055934923,1.1277719825045944,3.7467741011945117,-2.9207663673121114,12.374955109548292,-98.76056992539901,2.8465797194636595,5.967260622285801,0.7830207503970874,7.465305415519748,0.0,1.4998719560649107,1109.9562792941106,1116.5545894326578,1111.4105737843804,1109.3183472147498,1638.9308528193947
0.018,1015.8539281055115,1.6805600254368378,0.9469250982803044,1.032957977436399,11.824574959323096,2.6478264219413568,1.2347460498793685,-2.877626252373543,7.632562992981403,3.623769654839727,-2.1224728844099006,2.05940796482141,0.4904352138815504,2.259320761353398,-0.0,6.462448588171203,1110.441345864341,1112.0114723374156,1108.3591054346618,1109.4258845419847,1640.2534374932009
