time_s,rcCommand[3],rcCommand[0],gyroADC[0],axisP[0],axisD[0],debug[0],rcCommand[1],gyroADC[1],axisP[1],axisD[1],debug[1],rcCommand[2],gyroADC[2],axisP[2],axisD[2],debug[2],motor[0],motor[1],motor[2],motor[3],vbatLatest
0.0,983.8774505479138,-3.6618298691208997,-1.3274498068199183,-3.7350080996815707,0.0,-2.7674905909603984,2.290475795241795,0.7675816420742095,2.729026322476313,0.0,2.1306131583538623,-5.992855864856751,-2.1696846879454306,-5.505366494752302,0.0,-3.9915001494547067,1109.213965589236,1111.6529797346686,1110.2188240638861,1108.1528325445975,1638.356447202304
0.002,982.167055732803,2.155105385377973,-1.2951918187724143,5.520475526640619,2.314510642408413,-1.3297023038846523,-2.718430067008491,1.0804664852601913,-6.8076226216654785,26.28232682762247,-2.706026709756957,0.8824111310020302,-1.765260516726928,3.8126471727297,0.0,-1.5904398751403914,1109.9921368821663,1108.5500946058605,1108.6400446845062,1109.5413181108565,1641.477224563907
0.004,1004.4320138050883,-1.1484342765979636,-1.7446458940215317,0.953938587877709,-32.24832989912417,0.5154603337411223,-0.8352468052837008,0.7865044952604973,-2.9061783305752034,-24.6928071599743,-0.4478667925859086,0.4010209277636685,-1.9534753150602295,3.3904745896664132,-0.0,0.034566482278670096,1112.733787476809,1111.2060338812616,1109.8460272388077,1111.5428533708869,1641.4967713810624
0.006,1015.9220996541424,-3.0524009487657544,-1.9501055057239007,-1.763672708866966,-14.74172713964498,-2.310023297374296,-1.354009450300594,1.0674566663783054,-4.3392672810885875,23.599982373895884,2.739456107597667,-2.0111101145117383,-1.6589985005825847,-0.5070407240579812,0.0,-2.6718980257413025,1114.1533895586654,1111.3999332266858,1110.1060881318626,1111.7326214324546,1637.2807087560916
0.008,1013.0100530328666,9.56090109436735,-1.0618531942876055,16.99640686184793,63.73210334555419,1.4871157727213649,1.5628713951365576,1.5294287584404045,0.05992920495950636,38.80565573321632,0.8910134427066081,1.1436853970703802,-1.8238125256314592,4.273197008690649,-0.0,1.0104262369352788,1110.8508575142655,1110.7962005748607,1111.1863007113905,1111.9525258400083,1641.497191241158
0.01,1010.0796306726797,1.6805900090308001,-1.1816382554532365,4.579565223174458,-8.594578138634027,-1.7338451895014326,1.7182853020134812,1.3247137431932645,0.7052802334058283,-17.19606128075976,1.1968622530771427,-1.7983880439154691,-1.7990542780477687,0.000959377150511429,0.0,-2.5599785028743067,1110.4569571721397,1113.8641999077618,1112.1696664164695,1112.9171873821724,1638.8780820582097
0.012,988.1221852286546,4.13879453840848,-0.5612318178800281,7.520042170061614,44.514161895877706,3.760433588143422,-1.0220651647771843,1.0731440461195874,-3.754614905927015,-21.13185455418888,-0.03718516341186617,3.1994133956499207,-1.885079678162293,7.3216700262895875,-0.0,3.5549068307473197,1110.6639755958497,1107.3886925796412,1108.5399989601794,1110.2840242610303,1640.4282324489077
0.014,1029.4156816199936,-0.11009097862513073,-1.179306480195681,1.7107448025128804,-44.34685702114809,-1.01449462843408,-3.680009860694953,0.49179997142402115,-7.475883219157202,-48.832902274427575,-1.363040396440313,5.772879783534263,-2.1058178927213453,11.345324653808078,-0.0,4.758173779272674,1109.8962260817566,1115.311237102826,1112.6755572144257,1112.2398343474708,1640.1887938047898
0.016,980.4436680787574,7.284320923945173,-0.6131408997318661,12.635938917883262,40.62238039827871,2.5494856627500866,-0.8464437684353205,0.73721375714858,-2.8379142858463497,20.61475800086294,-0.3313382776312797,6.704854367297825,-1.6883650975102258,12.086236029323594,0.0,1.2200335413181493,1106.8952276241773,1110.5535666046503,1111.0691781810347,1109.7847248611492,1639.739297615477
0.018,1000.8172045627332,7.799691014633872,-0.46872325030483,13.229462823901924,10.361966346389845,5.3696660088924535,7.890687231621994,1.494633199203095,11.461728826094667,63.62323313257926,6.721945133719709,9.977919842287761,-1.746653758316159,16.883385984869644,-0.0,1.8642765918314994,1109.0128243975469,1109.688957727008,1108.415253845755,1111.9219318607747,1642.0755115152854
0.02,1003.647869001239,1.4939027595962484,-0.8955656591691971,3.823149470024713,-30.62594283601834,0.21901687653326882,-1.989752762910845,0.6332427042036043,-4.700407877069093,-72.35680157995722,0.36983449493650067,-0.2978281917902432,-1.9766867655146334,2.417556346163122,-0.0,-5.859744285877348,1111.2864692556648,1109.7369577396516,1111.5721066835981,1109.6430780590742,1637.070345840994
0.022,1043.4521683217847,11.976967148016834,-0.2655681936361308,19.588056546644744,45.2023181519975,4.806611582823459,0.9915699468021621,0.8931102694578534,0.17643974180100122,21.828875481356928,0.4335284933046958,7.158886550559575,-1.8257975903132182,12.93794516285682,0.0,5.939173405981639,1113.1656697336225,1113.0413593400385,1113.463021476617,1116.9593178328148,1638.643048361262
0.024,1023.9896071216666,15.769847064089408,-0.0019054283464406685,25.234803987897358,18.917803409535267,7.6590540846496395,1.459509209976214,0.9032068295759619,0.9968938656772516,0.8481110499211094,5.962410692836809,11.24875944442503,-2.1064193455214117,19.231457457522875,-0.0,7.502596068857706,1109.287684416119,1112.0264609020783,1108.4315388169462,1111.2143727316038,1641.65663854446
0.026,1023.2208298126693,14.78173047078593,0.07916371304084857,23.524106812392134,5.816710894538002,4.541160358858143,8.409608905795102,1.1036966044419672,13.092194844024819,16.841141088744443,4.698817666441883,11.709189299049392,-2.06300469972096,19.831959358229305,0.0,4.440645701848945,1110.195883925821,1109.3091558751594,1110.0039748219529,1110.2126568282013,1640.0122550742374
0.028,1046.3873438278129,11.06920628555203,0.17019664629081357,17.438415422817947,6.531612960684988,6.5529789468632424,6.408666170771736,1.277851615091346,9.194419683779259,14.629020894547818,-0.16740700421506105,11.499976700067515,-2.1561845231723313,19.664872161465382,-0.0,3.824368056924685,1111.1023449607628,1113.355214924976,1111.728617931998,1113.6007724253652,1639.0112499171737
0.03,1040.7826145705696,10.465180018629162,0.02905352547016779,16.69780238905439,-10.127018918881335,2.7926432457975174,1.5170362116916865,1.3279360487692025,0.3388674919570913,4.207092428939949,3.0406567821215207,5.608685726470248,-2.2676076844120496,11.341862511670508,-0.0,1.3469562705527847,1113.9372001508375,1114.111875533541,1111.766994199181,1112.745735588537,1640.656694998695
